Year,State,Subcategory,Sales,Quantity,Discount,Profit,Profit_Margin
2015,Tennessee,Chairs,831.936,8,0.2,-114.3912,-0.13749999999999998
2015,Tennessee,Furnishings,97.04,2,0.2,1.213,0.0125
2015,Tennessee,Storage,72.784,1,0.2,-18.196,-0.25
2017,Texas,Binders,1.248,3,0.8,-1.9344,-1.5499999999999998
2017,Texas,Furnishings,9.708,3,0.6,-5.8248,-0.6
2017,Texas,Storage,27.24,3,0.2,2.724,0.10000000000000002
2014,Texas,Furnishings,19.3,5,0.6,-14.475,-0.75
2016,Alabama,Appliances,208.16,1,0,56.2032,0.27
2016,Alabama,Binders,16.74,3,0,8.0352,0.48000000000000004
2014,California,Art,14.9,5,0,4.172,0.27999999999999997
2014,California,Storage,21.39,1,0,6.2031,0.29
2015,North Carolina,Envelopes,200.984,7,0.2,62.8075,0.3125
2017,Illinois,Storage,230.376,3,0.2,-48.9549,-0.2125
2017,South Carolina,Chairs,301.96,2,0,33.2156,0.11000000000000001
2017,Minnesota,Accessories,19.99,1,0,6.7966,0.34
2017,Minnesota,Labels,6.16,2,0,2.9568,0.48
2016,Texas,Storage,158.368,7,0.2,13.8572,0.08750000000000001
2016,California,Art,20.1,3,0,6.633,0.32999999999999996
2016,California,Phones,73.584,2,0.2,8.2782,0.11249999999999999
2016,California,Paper,6.48,1,0,3.1104,0.4799999999999999
2015,Minnesota,Paper,12.96,2,0,6.2208,0.4799999999999999
2015,Minnesota,Furnishings,53.34,3,0,16.5354,0.30999999999999994
2015,Minnesota,Binders,32.96,2,0,16.1504,0.49000000000000005
2017,Oregon,Binders,5.682,1,0.7,-3.788,-0.6666666666666666
2017,New York,Furnishings,96.53,7,0,40.5426,0.42
2017,California,Binders,51.312,3,0.2,17.9592,0.35
2016,Minnesota,Appliances,77.88,6,0,22.5852,0.29000000000000004
2016,Illinois,Paper,64.624,7,0.2,22.6184,0.35000000000000003
2016,Illinois,Accessories,95.976,3,0.2,-10.7973,-0.1125
2016,Illinois,Binders,1.788,3,0.8,-3.0396,-1.7
2016,Minnesota,Paper,23.92,4,0,11.7208,0.49
2015,Colorado,Accessories,238.896,6,0.2,-26.8758,-0.11250000000000002
2015,Colorado,Furnishings,102.36,3,0.2,-3.8385,-0.0375
2015,Colorado,Binders,36.882,3,0.7,-25.8174,-0.7000000000000001
2017,North Carolina,Accessories,74.112,8,0.2,17.6016,0.23750000000000004
2017,North Carolina,Phones,27.992,1,0.2,2.0994,0.075
2017,North Carolina,Art,3.304,1,0.2,1.0738,0.32500000000000007
2015,Illinois,Accessories,339.96,5,0.2,67.992,0.20000000000000004
2017,New York,Furnishings,41.96,2,0,10.9096,0.25999999999999995
2016,Iowa,Art,75.96,2,0,22.788,0.30000000000000004
2016,Iowa,Binders,27.24,6,0,13.3476,0.49000000000000005
2014,Ohio,Fasteners,40.096,14,0.2,14.5348,0.36250000000000004
2014,Ohio,Envelopes,4.72,2,0.2,1.652,0.35
2014,Ohio,Paper,23.976,3,0.2,7.4925,0.3125
2014,Ohio,Envelopes,130.464,6,0.2,44.0316,0.33749999999999997
2015,Washington,Tables,787.53,3,0,165.3813,0.21000000000000002
2015,Tennessee,Binders,157.794,1,0.7,-115.7156,-0.7333333333333333
2016,Delaware,Furnishings,47.04,3,0,18.3456,0.39
2016,Delaware,Binders,30.84,4,0,13.878,0.45
2016,Delaware,Storage,226.56,6,0,63.4368,0.27999999999999997
2016,Delaware,Envelopes,115.02,9,0,51.759,0.45
2016,Delaware,Phones,68.04,7,0,19.7316,0.29
2014,Texas,Chairs,600.558,3,0.3,-8.5794,-0.014285714285714285
2014,Illinois,Tables,617.7,6,0.5,-407.682,-0.66
2017,Arizona,Binders,2.388,2,0.7,-1.8308,-0.7666666666666667
2017,Arizona,Storage,243.992,7,0.2,30.499,0.125
2016,California,Chairs,81.424,2,0.2,-9.1602,-0.11249999999999999
2016,California,Furnishings,238.56,3,0,26.2416,0.10999999999999999
2017,Ohio,Phones,59.97,5,0.4,-11.994,-0.2
2017,Ohio,Paper,78.304,2,0.2,29.364,0.375
2017,Ohio,Fasteners,21.456,9,0.2,6.9732,0.325
2016,California,Paper,20.04,3,0,9.6192,0.48
2016,California,Paper,35.44,1,0,16.6568,0.47000000000000003
2016,California,Art,11.52,4,0,3.456,0.3
2016,California,Fasteners,4.02,2,0,1.9698,0.49000000000000005
2016,California,Binders,76.176,3,0.2,26.6616,0.35
2016,California,Supplies,65.88,6,0,18.4464,0.28
2016,California,Furnishings,43.12,14,0,20.6976,0.48000000000000004
2016,Pennsylvania,Furnishings,82.8,2,0.2,10.35,0.125
2017,California,Art,8.82,3,0,2.3814,0.27
2017,California,Envelopes,10.86,3,0,5.1042,0.47
2017,California,Paper,143.7,3,0,68.976,0.48000000000000004
2017,Missouri,Appliances,839.43,3,0,218.2518,0.26
2015,California,Storage,671.93,7,0,20.1579,0.030000000000000006
2014,Ohio,Furnishings,93.888,4,0.2,12.9096,0.13749999999999998
2016,Wisconsin,Phones,384.45,11,0,103.8015,0.27
2016,Wisconsin,Phones,149.97,3,0,5.9988,0.04
2016,Wisconsin,Chairs,1951.84,8,0,585.552,0.30000000000000004
2016,Wisconsin,Binders,171.55,5,0,80.6285,0.47
2016,Arizona,Appliances,157.92,5,0.2,17.766,0.1125
2016,Arizona,Phones,203.184,2,0.2,15.2388,0.075
2015,California,Paper,58.38,7,0,26.271,0.45
2015,California,Paper,105.52,4,0,48.5392,0.46
2015,California,Storage,80.88,6,0,21.0288,0.26
2015,Washington,Art,6.63,3,0,1.7901,0.27
2014,Washington,Chairs,457.568,2,0.2,51.4764,0.1125
2016,Oklahoma,Labels,14.62,2,0,6.8714,0.47000000000000003
2016,Oklahoma,Phones,944.93,7,0,236.2325,0.25
2016,California,Paper,5.98,1,0,2.691,0.44999999999999996
2015,Pennsylvania,Accessories,54.384,2,0.2,1.3596,0.024999999999999998
2016,New Mexico,Envelopes,28.4,5,0,13.348,0.47000000000000003
2016,Washington,Binders,27.68,2,0.2,9.688,0.35000000000000003
2014,Texas,Art,9.936,3,0.2,2.7324,0.275
2014,Texas,Machines,8159.952,8,0.4,-1359.992,-0.16666666666666666
2014,Texas,Storage,275.928,3,0.2,-58.6347,-0.21250000000000002
2014,Texas,Chairs,1740.06,9,0.3,-24.858,-0.014285714285714287
2014,Texas,Art,32.064,6,0.2,6.8136,0.2125
2014,Texas,Appliances,177.98,5,0.8,-453.849,-2.5500000000000003
2014,Texas,Phones,143.976,3,0.2,8.9985,0.0625
2014,California,Paper,20.94,3,0,9.8418,0.4699999999999999
2014,California,Paper,110.96,2,0,53.2608,0.48000000000000004
2014,California,Chairs,340.144,7,0.2,21.259,0.0625
2014,Illinois,Appliances,52.448,2,0.8,-131.12,-2.5
2014,Illinois,Labels,20.16,4,0.2,6.552,0.32499999999999996
2017,Texas,Appliances,97.264,4,0.8,-243.16,-2.5
2015,Ohio,Chairs,396.802,7,0.3,-11.3372,-0.028571428571428567
2015,Ohio,Supplies,15.88,5,0.2,-3.7715,-0.2375
2015,New York,Art,3.28,1,0,1.4104,0.43000000000000005
2014,Illinois,Storage,24.816,2,0.2,1.8612,0.075
2014,Illinois,Accessories,408.744,7,0.2,76.6395,0.18749999999999997
2014,Louisiana,Phones,503.96,4,0,131.0296,0.26
2014,Louisiana,Phones,149.95,5,0,41.986,0.28
2014,Louisiana,Accessories,29,2,0,7.25,0.25
2016,Connecticut,Binders,7.16,2,0,3.4368,0.48
2014,California,Accessories,176.8,8,0,22.984,0.13
2016,Texas,Storage,37.224,3,0.2,3.7224,0.1
2016,Texas,Paper,20.016,3,0.2,6.255,0.3125
2015,New York,Bookcases,899.136,4,0.2,112.392,0.125
2015,New York,Phones,71.76,6,0,20.0928,0.27999999999999997
2015,New York,Paper,51.84,8,0,24.8832,0.4799999999999999
2015,New York,Bookcases,626.352,3,0.2,46.9764,0.075
2015,New York,Art,19.9,5,0,6.567,0.33
2015,California,Envelopes,14.28,7,0,6.7116,0.47000000000000003
2014,Ohio,Art,7.408,2,0.2,1.2038,0.16249999999999998
2014,Ohio,Art,6.048,3,0.2,1.5876,0.26249999999999996
2017,New Jersey,Storage,46.26,3,0,12.0276,0.26
2017,Pennsylvania,Binders,2.946,2,0.7,-2.2586,-0.7666666666666666
2017,Pennsylvania,Paper,16.056,3,0.2,5.8203,0.36249999999999993
2017,Ohio,Paper,21.744,3,0.2,6.795,0.3125
2014,Colorado,Tables,218.75,2,0.5,-161.875,-0.74
2014,Colorado,Appliances,2.6,1,0.2,0.2925,0.11249999999999999
2017,Texas,Appliances,66.284,2,0.8,-178.9668,-2.6999999999999997
2017,Tennessee,Furnishings,35.168,7,0.2,9.6712,0.275
2017,California,Phones,444.768,4,0.2,44.4768,0.1
2017,Michigan,Storage,83.92,4,0,5.8744,0.06999999999999999
2017,Michigan,Phones,131.98,2,0,35.6346,0.27
2017,Michigan,Binders,15.92,4,0,7.4824,0.47000000000000003
2017,Michigan,Fasteners,52.29,9,0,16.2099,0.31000000000000005
2017,Michigan,Storage,91.99,1,0,3.6796,0.04000000000000001
2015,Texas,Accessories,20.8,2,0.2,6.5,0.3125
2015,Ohio,Labels,23.68,2,0.2,8.88,0.37500000000000006
2015,Ohio,Bookcases,452.45,5,0.5,-244.323,-0.54
2015,Ohio,Phones,62.982,3,0.4,-14.6958,-0.23333333333333334
2015,Ohio,Machines,1188,9,0.7,-950.4,-0.7999999999999999
2015,Ohio,Accessories,89.584,2,0.2,4.4792,0.049999999999999996
2016,California,Storage,93.06,6,0,26.0568,0.27999999999999997
2016,California,Phones,302.376,3,0.2,22.6782,0.07500000000000001
2015,Ohio,Fasteners,5.584,2,0.2,1.8148,0.325
2015,Ohio,Paper,22.704,6,0.2,8.2302,0.3625
2015,Ohio,Binders,19.776,4,0.7,-13.8432,-0.7
2015,Ohio,Furnishings,72.704,4,0.2,19.0848,0.26250000000000007
2015,Ohio,Machines,479.988,4,0.7,-383.9904,-0.8
2015,Ohio,Art,27.168,2,0.2,2.7168,0.1
2015,Michigan,Art,2.2,1,0,0.968,0.43999999999999995
2015,Michigan,Tables,622.45,5,0,136.939,0.21999999999999997
2015,Michigan,Storage,21.98,1,0,0.2198,0.01
2015,Tennessee,Chairs,161.568,2,0.2,-28.2744,-0.175
2015,Tennessee,Chairs,389.696,8,0.2,43.8408,0.1125
2014,North Carolina,Binders,18.648,7,0.7,-12.432,-0.6666666666666667
2017,Florida,Tables,233.86,2,0.45,-102.048,-0.43636363636363634
2017,Florida,Tables,620.6145,3,0.45,-248.2458,-0.39999999999999997
2017,Florida,Binders,5.328,2,0.7,-3.552,-0.6666666666666666
2017,Florida,Furnishings,258.072,3,0.2,0,0
2017,Florida,Accessories,617.976,3,0.2,-7.7247,-0.0125
2017,California,Paper,10.56,2,0,4.752,0.44999999999999996
2016,Illinois,Paper,25.92,5,0.2,9.396,0.3625
2016,Illinois,Furnishings,419.68,5,0.6,-356.728,-0.85
2016,Illinois,Furnishings,11.688,3,0.6,-4.6752,-0.4
2016,Illinois,Phones,31.984,2,0.2,11.1944,0.35
2016,Illinois,Tables,177.225,5,0.5,-120.513,-0.68
2016,Illinois,Furnishings,4.044,3,0.6,-2.8308,-0.7000000000000001
2016,Illinois,Art,7.408,2,0.2,1.2038,0.16249999999999998
2014,Minnesota,Chairs,2001.86,7,0,580.5394,0.29000000000000004
2014,Minnesota,Storage,166.72,2,0,41.68,0.25
2014,Minnesota,Paper,47.88,6,0,23.94,0.5
2014,Minnesota,Appliances,1503.25,5,0,496.0725,0.33
2014,Minnesota,Paper,25.92,4,0,12.4416,0.4799999999999999
2016,California,Chairs,321.568,2,0.2,28.1372,0.08750000000000001
2016,California,Paper,7.61,1,0,3.5767,0.47000000000000003
2016,California,Accessories,3347.37,13,0,636.0003,0.19000000000000003
2016,New York,Storage,80.58,6,0,22.5624,0.28
2016,New York,Envelopes,361.92,4,0,162.864,0.45
2015,Illinois,Furnishings,12.132,9,0.6,-8.4924,-0.7000000000000001
2015,Illinois,Storage,82.368,2,0.2,-19.5624,-0.23750000000000002
2015,Illinois,Storage,53.92,5,0.2,4.044,0.07499999999999998
2015,Illinois,Phones,647.904,6,0.2,56.6916,0.08750000000000001
2017,New York,Accessories,20.37,3,0,6.9258,0.33999999999999997
2017,New York,Storage,221.55,3,0,6.6465,0.029999999999999995
2017,New York,Binders,17.52,5,0.2,6.132,0.35
2017,Texas,Appliances,1.624,2,0.8,-4.466,-2.75
2014,Texas,Machines,3059.982,3,0.4,-509.997,-0.16666666666666669
2014,Texas,Machines,2519.958,7,0.4,-251.9958,-0.09999999999999999
2016,Illinois,Phones,328.224,4,0.2,28.7196,0.08750000000000001
2015,California,Accessories,79.9,2,0,35.156,0.43999999999999995
2017,North Carolina,Art,14.016,3,0.2,4.7304,0.3375
2016,New Jersey,Fasteners,7.56,6,0,0.3024,0.04
2017,Ohio,Storage,37.208,1,0.2,-7.4416,-0.2
2017,Ohio,Envelopes,57.576,3,0.2,21.591,0.375
2017,California,Storage,725.84,4,0,210.4936,0.29
2015,California,Accessories,209.93,7,0,92.3692,0.44
2015,California,Furnishings,5.28,3,0,2.3232,0.43999999999999995
2015,California,Binders,10.92,3,0.2,4.095,0.375
2017,California,Paper,8.82,2,0,4.0572,0.45999999999999996
2017,California,Art,5.98,1,0,1.5548,0.25999999999999995
2017,Pennsylvania,Paper,11.648,2,0.2,4.0768,0.35000000000000003
2017,Pennsylvania,Paper,18.176,4,0.2,5.9072,0.325
2017,Pennsylvania,Storage,59.712,6,0.2,5.9712,0.09999999999999999
2017,Pennsylvania,Labels,24.84,3,0.2,8.694,0.35000000000000003
2015,Texas,Binders,2.08,5,0.8,-3.432,-1.65
2015,Texas,Phones,1114.4,7,0.2,376.11,0.33749999999999997
2015,California,Tables,1038.84,5,0.2,51.942,0.05
2015,Oregon,Paper,141.76,5,0.2,47.844,0.3375
2015,Oregon,Accessories,239.8,5,0.2,47.96,0.19999999999999998
2015,Oregon,Paper,31.104,6,0.2,10.8864,0.35000000000000003
2016,Florida,Binders,254.058,7,0.7,-169.372,-0.6666666666666667
2016,Florida,Appliances,194.528,2,0.2,24.316,0.125
2016,Florida,Supplies,961.48,5,0.2,-204.3145,-0.2125
2016,Ohio,Fasteners,19.096,7,0.2,6.6836,0.35000000000000003
2016,Ohio,Labels,18.496,8,0.2,6.2424,0.3375
2016,Ohio,Accessories,255.984,2,0.2,54.3966,0.2125
2016,Ohio,Bookcases,86.97,3,0.5,-48.7032,-0.56
2014,Colorado,Furnishings,300.416,8,0.2,78.8592,0.2625
2014,Colorado,Chairs,230.352,3,0.2,20.1558,0.0875
2014,Colorado,Furnishings,218.352,3,0.2,-24.5646,-0.11249999999999999
2014,Colorado,Binders,78.6,5,0.7,-62.88,-0.8
2014,Colorado,Fasteners,27.552,3,0.2,9.2988,0.3375
2016,New Jersey,Paper,32.4,5,0,15.552,0.48
2016,New Jersey,Storage,1082.48,8,0,10.8248,0.01
2016,New Jersey,Paper,56.91,3,0,27.3168,0.48000000000000004
2016,New Jersey,Furnishings,77.6,4,0,38.024,0.49000000000000005
2016,New Jersey,Binders,14.28,1,0,6.5688,0.4600000000000001
2017,Illinois,Tables,219.075,3,0.5,-131.445,-0.6
2015,New York,Furnishings,26.8,2,0,12.864,0.48000000000000004
2014,Michigan,Art,9.84,3,0,2.8536,0.29000000000000004
2014,New Jersey,Binders,45.48,3,0,20.9208,0.46
2014,New Jersey,Art,289.2,6,0,83.868,0.29
2017,Virginia,Art,4.89,1,0,2.0049,0.41000000000000003
2016,Colorado,Furnishings,15.136,4,0.2,3.5948,0.23750000000000002
2016,Colorado,Chairs,466.768,2,0.2,52.5114,0.11250000000000002
2016,Colorado,Furnishings,15.232,1,0.2,1.7136,0.1125
2016,Colorado,Labels,6.264,3,0.2,2.0358,0.325
2014,New Jersey,Furnishings,87.54,3,0,37.6422,0.43
2014,Florida,Phones,178.384,2,0.2,22.298,0.125
2014,Florida,Paper,15.552,3,0.2,5.4432,0.35000000000000003
2014,Pennsylvania,Art,99.136,4,0.2,8.6744,0.08750000000000001
2014,New York,Chairs,135.882,1,0.1,24.1568,0.17777777777777778
2014,New York,Machines,3991.98,2,0,1995.99,0.5
2014,New York,Phones,275.94,6,0,80.0226,0.29
2014,New York,Accessories,360,4,0,129.6,0.36
2014,New York,Storage,43.57,1,0,13.071,0.3
2014,California,Fasteners,7.16,2,0,3.58,0.5
2016,California,Binders,251.52,6,0.2,81.744,0.325
2016,California,Accessories,99.99,1,0,34.9965,0.35
2017,Tennessee,Furnishings,15.992,1,0.2,0.9995,0.0625
2016,Pennsylvania,Phones,290.898,3,0.4,-67.8762,-0.2333333333333333
2016,Pennsylvania,Storage,54.224,2,0.2,3.389,0.0625
2016,Pennsylvania,Chairs,786.744,4,0.3,-258.5016,-0.32857142857142857
2016,Pennsylvania,Labels,100.24,10,0.2,33.831,0.3375
2016,Pennsylvania,Binders,37.764,6,0.7,-27.6936,-0.7333333333333333
2016,Pennsylvania,Phones,82.8,2,0.4,-20.7,-0.25
2016,Pennsylvania,Binders,20.724,2,0.7,-13.816,-0.6666666666666667
2016,Pennsylvania,Binders,4.896,3,0.7,-3.4272,-0.7000000000000001
2015,California,Binders,4.752,1,0.2,1.6038,0.33749999999999997
2015,California,Copiers,959.984,2,0.2,335.9944,0.35
2015,California,Binders,14.368,4,0.2,4.49,0.3125
2014,California,Binders,7.712,2,0.2,2.7956,0.3625
2014,California,Tables,698.352,3,0.2,-17.4588,-0.025
2015,Utah,Fasteners,4.96,4,0,2.3312,0.47
2014,Pennsylvania,Art,17.856,4,0.2,1.116,0.0625
2014,Pennsylvania,Binders,509.97,10,0.7,-407.976,-0.7999999999999999
2014,Pennsylvania,Fasteners,30.992,13,0.2,10.0724,0.325
2014,Pennsylvania,Phones,71.928,12,0.4,8.3916,0.11666666666666668
2015,Texas,Storage,88.8,4,0.2,-2.22,-0.025
2017,California,Phones,47.976,3,0.2,4.7976,0.1
2017,Massachusetts,Art,7.56,3,0,3.0996,0.41000000000000003
2017,Massachusetts,Paper,24.56,2,0,11.5432,0.47000000000000003
2017,Massachusetts,Art,12.96,2,0,4.1472,0.31999999999999995
2016,New York,Accessories,6.79,1,0,2.3086,0.34
2016,New York,Paper,24.56,2,0,11.5432,0.47000000000000003
2016,New York,Binders,3.048,1,0.2,1.0668,0.35
2016,New York,Paper,49.12,4,0,23.0864,0.47000000000000003
2016,New York,Binders,4355.168,4,0.2,1415.4296,0.325
2016,New York,Bookcases,388.704,6,0.2,-4.8588,-0.012499999999999999
2016,New York,Envelopes,8.26,2,0,3.7996,0.46
2016,New York,Art,17.04,4,0,6.9864,0.41000000000000003
2016,New York,Paper,34.4,5,0,15.824,0.46
2016,North Carolina,Paper,36.24,5,0.2,11.325,0.31249999999999994
2017,Georgia,Appliances,647.84,8,0,168.4384,0.26
2017,Georgia,Labels,20.7,2,0,9.936,0.48000000000000004
2017,New York,Labels,20.7,2,0,9.936,0.48000000000000004
2017,New York,Chairs,488.646,3,0.1,86.8704,0.17777777777777778
2017,New York,Art,5.56,2,0,1.4456,0.26
2017,New York,Furnishings,47.12,8,0,20.7328,0.44000000000000006
2014,California,Storage,211.96,4,0,8.4784,0.04
2016,Connecticut,Binders,23.2,4,0,10.44,0.45
2016,Connecticut,Supplies,7.36,2,0,0.1472,0.02
2016,Connecticut,Storage,104.79,7,0,29.3412,0.27999999999999997
2016,Connecticut,Bookcases,1043.92,4,0,271.4192,0.25999999999999995
2017,Texas,Paper,25.92,5,0.2,9.396,0.3625
2017,Texas,Storage,53.424,3,0.2,4.6746,0.0875
2014,Arizona,Binders,8.16,5,0.7,-5.712,-0.7
2014,Arizona,Accessories,1023.936,8,0.2,179.1888,0.175
2014,Arizona,Art,9.24,1,0.2,0.924,0.1
2014,Arizona,Accessories,479.04,10,0.2,-29.94,-0.0625
2016,Illinois,Paper,99.136,4,0.2,30.98,0.3125
2017,Massachusetts,Tables,1488.424,7,0.3,-297.6848,-0.2
2015,Texas,Appliances,8.652,3,0.8,-20.3322,-2.35
2015,Texas,Storage,23.832,3,0.2,2.6811,0.11249999999999999
2015,Texas,Binders,12.176,4,0.8,-18.8728,-1.55
2016,California,Paper,50.96,7,0,25.48,0.5
2016,California,Binders,49.536,3,0.2,17.3376,0.35
2015,Michigan,Accessories,41.9,2,0,8.799,0.21
2015,Florida,Tables,375.4575,3,0.45,-157.0095,-0.4181818181818182
2015,Florida,Accessories,83.976,3,0.2,-1.0497,-0.0125
2015,Pennsylvania,Machines,482.34,4,0.7,-337.638,-0.7
2015,Pennsylvania,Furnishings,2.96,1,0.2,0.777,0.2625
2014,Ohio,Art,2.624,1,0.2,0.4264,0.1625
2017,New York,Binders,23.36,4,0.2,7.884,0.3375
2017,New York,Accessories,39.98,2,0,13.5932,0.34
2014,Washington,Phones,246.384,2,0.2,27.7182,0.1125
2014,Washington,Copiers,1799.97,3,0,701.9883,0.38999999999999996
2014,Illinois,Binders,12.462,3,0.8,-20.5623,-1.6500000000000001
2017,Nevada,Binders,75.792,3,0.2,25.5798,0.33749999999999997
2017,Rhode Island,Storage,49.96,2,0,9.4924,0.19
2017,Rhode Island,Paper,12.96,2,0,6.2208,0.4799999999999999
2015,Michigan,Supplies,70.12,4,0,21.036,0.3
2016,Texas,Storage,35.952,3,0.2,3.5952,0.1
2016,Texas,Bookcases,2396.2656,4,0.32,-317.1528,-0.1323529411764706
2016,Texas,Storage,131.136,4,0.2,-32.784,-0.25
2016,Texas,Accessories,57.584,2,0.2,0.7198,0.012499999999999999
2014,Florida,Paper,9.568,2,0.2,3.4684,0.3625
2014,North Carolina,Art,39.072,6,0.2,9.768,0.25
2017,New York,Appliances,35.91,3,0,9.6957,0.27
2017,California,Accessories,179.95,5,0,37.7895,0.21
2017,California,Copiers,1199.976,3,0.2,434.9913,0.3625
2017,California,Paper,27.15,5,0,13.3035,0.49
2017,California,Tables,1004.024,7,0.2,-112.9527,-0.11249999999999999
2017,California,Paper,9.68,1,0,4.6464,0.48
2017,California,Labels,28.35,9,0,13.608,0.48
2017,California,Paper,55.98,1,0,27.4302,0.49
2017,California,Bookcases,1336.829,13,0.15,31.4548,0.023529411764705882
2017,California,Chairs,113.568,2,0.2,-18.4548,-0.1625
2017,Washington,Paper,139.86,7,0,65.7342,0.47
2017,Washington,Chairs,307.136,4,0.2,26.8744,0.0875
2017,California,Art,95.92,8,0,25.8984,0.26999999999999996
2016,California,Chairs,383.8,5,0.2,38.38,0.1
2017,Kentucky,Paper,5.78,1,0,2.8322,0.48999999999999994
2017,California,Art,9.32,4,0,2.7028,0.29
2017,California,Envelopes,15.25,1,0,7.015,0.45999999999999996
2014,Colorado,Accessories,196.752,6,0.2,56.5662,0.2875
2017,Massachusetts,Furnishings,56.56,4,0,14.7056,0.26
2017,Massachusetts,Storage,32.7,3,0,8.502,0.26
2017,Mississippi,Chairs,866.4,4,0,225.264,0.26
2017,Michigan,Furnishings,28.4,2,0,11.076,0.39
2017,Michigan,Binders,287.92,8,0,138.2016,0.48000000000000004
